#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,
548,G,,,,,,,,,,,,,,,,
549,D,,,,,,,,,,,,,,,,
550,Z,,,,,,,,,,,,,,,,
551,X,,,,,,,,,,,,,,,,
552,T,,,,,,,,,,,,,,,,
553,R,,,,,,,,,,,,,,,,
554,M,,,,,,,,,,,,,,,,
555,K,,,,,,,,,,,,,,,,
556,H,,,,,,,,,,,,,,,,
557,E,,,,,,,,,,,,,,,,
558,C,,,,,,,,,,,,,,,,
559,A,Mitsubishi,BE63DJRMDA,Mitsubishi,Strides Transportation,,,,AMDEP,SingHealth Shuttle,1,Mitsubishi Fuso 5-speed manual,,Mitsubishi,Mitsubishi,Mitsubishi,
560,U,,,,,,,,,,,,,,,,
561,S,,,,,,,,,,,,,,,,
562,P,,,,,,,,,,,,,,,,
563,L,,,,,,,,,,,,,,,,
564,J,,,,,,,,,,,,,,,,
565,G,,,,,,,,,,,,,,,,
566,D,,,,,,,,,,,,,,,,
567,B,,,,,,,,,,,,,,,,
568,Z,,,,,,,,,,,,,,,,
569,X,,,,,,,,,,,,,,,,
570,R,,,,,,,,,,,,,,,,
571,M,,,,,,,,,,,,,,,,
572,K,,,,,,,,,,,,,,,,
573,H,,,,,,,,,,,,,,,,
574,E,,,,,,,,,,,,,,,,
575,C,,,,,,,,,,,,,,,,
576,A,,,,,,,,,,,,,,,,
577,Y,,,,,,,,,,,,,,,,
578,U,,,,,,,,,,,,,,,,
579,S,,,,,,,,,,,,,,,,
580,L,,,,,,,,,,,,,,,,
581,J,,,,,,,,,,,,,,,,
582,G,,,,,,,,,,,,,,,,
583,D,,,,,,,,,,,,,,,,
584,B,,,,,,,,,,,,,,,,
585,Z,,,,,,,,,,,,,,,,
586,X,,,,,,,,,,,,,,,,
587,T,,,,,,,,,,,,,,,,
588,R,,,,,,,,,,,,,,,,
589,M,,,,,,,,,,,,,,,,
590,H,,,,,,,,,,,,,,,,
591,E,,,,,,,,,,,,,,,,
592,C,,,,,,,,,,,,,,,,
593,A,,,,,,,,,,,,,,,,
594,Y,,,,,,,,,,,,,,,,
595,U,,,,,,,,,,,,,,,,
596,S,,,,,,,,,,,,,,,,
597,P,,,,,,,,,,,,,,,,
598,L,,,,,,,,,,,,,,,,
599,J,,,,,,,,,,,,,,,,
600,M,,,,,,,,,,,,,,,,
601,K,,,,,,,,,,,,,,,,
602,H,,,,,,,,,,,,,,,,
603,E,,,,,,,,,,,,,,,,
604,C,King Long,XMQ6996K,,,,,,,,,,,,,,
605,A,Golden Dragon,XML6103J98,,,,,,,,,,,,,,
606,Y,Toyota,HIACE 3.0DX DIESEL TURBO M/T 2WD 4DR,,,,,,,,,,,,,,
607,U,,,,,,,,,,,,,,,,
608,S,,,,,,,,,,,,,,,,
609,P,,,,,,,,,,,,,,,,
610,J,,,,,,,,,,,,,,,,
611,G,,,,,,,,,,,,,,,,
612,D,,,,,,,,,,,,,,,,
613,B,,,,,,,,,,,,,,,,
